ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"111.220.90.41","elite","AS9443","AU","Vocus PTY LTD","252","Vocus PTY LTD","40938","socks5","592","1","2025-11-16T07:40:57.496Z","99","10704","10821"
"54.79.132.4","elite","AS16509","AU","Amazon Corporate Services Pty Ltd, Amazon.com, Inc.","283","AWS EC2 (ap-southeast-2)","80","socks4","4685","1","2025-11-16T07:40:27.699Z","100","275","275"
"120.29.242.237","elite","AS45158","AU","TASMANET","300","Tasmanet Pty Ltd","3128","socks4","2770","1","2025-11-16T07:04:57.364Z","100","1016","1016"
"1.0.0.123","elite","AS13335","AU","Cloudflare, Inc","4","APNIC and Cloudflare DNS Resolver project","80","socks5","3313","1","2025-11-16T07:03:30.868Z","100","4094","4094"
"45.76.112.69","elite","AS20473","AU","The Constant Company","292","Vultr Holdings, LLC","3128","socks4","4598","1","2025-11-16T06:56:23.981Z","93","2956","3184"
"1.1.1.40","elite","AS13335","AU","Cloudflare, Inc","7","APNIC and Cloudflare DNS Resolver project","80","socks4","3325","1","2025-11-16T06:38:12.492Z","100","1827","1827"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","3715","1","2025-11-16T06:34:56.871Z","100","10901","10901"
"47.74.64.65","elite","AS45102","AU","Alibaba Cloud LLC","107","Alibaba Cloud - AU","8123","socks4","4277","1","2025-11-16T06:31:39.374Z","44","1861","4188"
"1.0.0.13","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","4899","1","2025-11-16T06:30:42.766Z","100","10779","10780"
"103.120.49.99","elite","AS135406","AU","BCD NETWORKS PTY LTD","312","BCD NETWORKS PTY LTD","8080","socks4","5075","1","2025-11-16T06:20:46.372Z","98","10741","10910"
"139.99.134.103","elite","AS16276","AU","OVH SAS","260","OVH Australia PTY LTD","58388","socks4","2800","1","2025-11-16T06:18:32.789Z","100","3771","3789"
"1.1.1.98","elite","AS13335","AU","Cloudflare, Inc","63","APNIC and Cloudflare DNS Resolver project","80","socks4","3611","1","2025-11-16T06:13:46.667Z","100","10955","10956"
"1.0.0.66","elite","AS13335","AU","Cloudflare, Inc","3","APNIC and Cloudflare DNS Resolver project","80","socks4","2582","1","2025-11-16T06:12:50.578Z","100","2101","2101"
"170.64.240.100","elite","AS14061","AU","DigitalOcean, LLC","294","DigitalOcean, LLC","443","socks4","4394","1","2025-11-16T06:06:26.577Z","85","795","932"
"51.161.131.84","elite","AS16276","AU","OVH SAS","267","OVH Australia PTY LTD","26385","socks4","2881","1","2025-11-16T05:40:36.781Z","82","3500","4272"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","4815","1","2025-11-16T05:27:27.280Z","100","10977","10979"
"1.1.1.18","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks5","4893","1","2025-11-16T05:12:43.477Z","100","10968","10968"
"1.1.1.145","elite","AS13335","AU","Cloudflare, Inc","62","APNIC and Cloudflare DNS Resolver project","80","socks4","4798","1","2025-11-16T04:44:31.970Z","100","2059","2059"
"14.202.251.202","elite","AS7545","AU","TPG Internet Pty Ltd","323","TPG Internet Pty Ltd","8888","socks4","3403","1","2025-11-16T04:29:22.194Z","98","3994","4056"
"52.237.205.77","elite","AS8075","AU","Microsoft Corporation","254","Microsoft Azure Cloud (australiaeast)","8081","socks4","4584","1","2025-11-16T03:56:05.393Z","100","826","826"
"45.76.121.215","elite","AS20473","AU","The Constant Company","300","Vultr Holdings, LLC","6688","socks4","4797","1","2025-11-16T03:42:25.577Z","99","347","349"
"45.63.26.156","elite","AS20473","AU","Choopa","320","Vultr Holdings, LLC","5929","socks4","2780","1","2025-11-16T03:36:45.470Z","99","1877","1890"
"1.0.0.26","elite","AS13335","AU","Cloudflare, Inc","4","APNIC and Cloudflare DNS Resolver project","80","socks4","2581","1","2025-11-16T03:19:58.971Z","100","4104","4105"
"1.0.0.181","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","3898","1","2025-11-16T02:56:52.182Z","100","3242","3245"
"139.180.170.204","elite","AS20473","AU","Choopa","338","N/A","44444","socks4","2607","2","2025-11-16T02:46:52.868Z","91","9912","10927"
"45.94.67.1","elite","AS201341","AU","trafficforce, UAB","292","code200","8110","socks4","4088","1","2025-11-16T02:46:25.196Z","98","4076","4152"
"1.0.0.4","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks5","4801","1","2025-11-16T02:42:30.481Z","100","10889","10890"
"1.0.0.187","elite","AS13335","AU","Cloudflare, Inc","4","APNIC and Cloudflare DNS Resolver project","80","socks4","2678","1","2025-11-16T02:40:18.887Z","100","10915","10915"
