ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"168.205.75.214","elite","AS203061","JP","UAB code200","240","HostRoyale Technologies","60000","socks4","1","100","1199","1205","2025-11-16T07:44:46.575Z","588"
"68.178.171.140","elite","AS26496","JP","GoDaddy.com, LLC","223","GoDaddy.com, LLC","26070","socks4","1","100","2854","2857","2025-11-16T07:43:48.691Z","3864"
"114.129.2.82","elite","AS7671","JP","NTT SmartConnect Corporation","244","NTT SmartConnect Corporation","8081","socks4","1","100","1447","1448","2025-11-16T07:40:57.498Z","4486"
"167.179.113.181","elite","AS20473","JP","The Constant Company, LLC","228","Choopa, LLC","52333","socks4","1","99","10886","10952","2025-11-16T07:39:59.379Z","2108"
"43.153.170.17","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","269","Tencent Cloud Computing","443","socks5","1","62","6782","10934","2025-11-16T07:39:59.485Z","3376"
"103.250.73.178","elite","AS17819","JP","UPRIGHT","236","Upright Inc.","8444","socks5","1","100","10949","10984","2025-11-16T07:39:00.174Z","2096"
"150.230.63.93","elite","AS31898","JP","Oracle Corporation","261","Oracle Cloud Infrastructure (ap-osaka-1)","443","socks4","1","100","196","196","2025-11-16T07:39:00.078Z","4396"
"208.109.14.49","elite","AS26496","JP","GoDaddy.com, LLC","240","GoDaddy.com, LLC","27344","socks4","1","30","808","2660","2025-11-16T07:38:01.572Z","4998"
"126.216.41.88","elite","AS17676","JP","SoftBank Corp.","272","SOFTBANK Corp","8888","socks4","1","100","976","979","2025-11-16T07:32:10.283Z","4876"
"133.208.172.15","elite","AS2518","JP","NET-JP-ERX","239","Jpnic NET JP ERX","3389","socks4","1","100","12","12","2025-11-16T07:31:10.774Z","133"
"147.161.200.244","elite","AS53813","JP","ZSCALER, INC.","257","Zscaler Tyo4","9480","socks4","1","100","4024","4038","2025-11-16T07:29:43.884Z","2401"
"43.153.170.84","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","286","Tencent Cloud Computing","443","socks5","1","89","9821","11013","2025-11-16T07:27:20.485Z","3478"
"47.245.34.161","elite","AS45102","JP","Alibaba Cloud LLC","256","Alibaba Cloud - JP","5566","socks4","1","100","3493","3494","2025-11-16T07:19:16.085Z","2027"
"160.16.87.168","elite","AS9370","JP","SAKURA Internet Inc.","262","SAKURA Internet Inc.","51081","socks5","1","20","2192","10964","2025-11-16T07:14:03.190Z","2822"
"152.70.104.79","elite","AS31898","JP","Oracle Corporation","255","Oracle Cloud Infrastructure (ap-tokyo-1)","1080","socks5","1","99","4213","4235","2025-11-16T07:12:07.482Z","2195"
"49.212.143.246","elite","AS9371","JP","SAKURA Internet Inc.","256","SAKURA","6666","socks4","1","100","2577","2578","2025-11-16T07:08:48.077Z","4883"
"47.74.18.0","elite","AS45102","JP","Alibaba Cloud LLC","264","Alibaba Cloud - JP","45102","socks4","1","80","8747","10959","2025-11-16T07:08:17.967Z","4392"
"160.248.9.210","elite","AS2514","JP","NTT PC Communications, Inc.","258","NTT PC Communications, Inc.","3128","socks4","1","100","3303","3312","2025-11-16T06:59:16.371Z","1420"
"132.226.7.23","elite","AS31898","JP","Oracle Corporation","257","Oracle Cloud Infrastructure (ap-tokyo-1)","30277","socks4","1","33","3627","10972","2025-11-16T06:55:54.996Z","4187"
"43.153.175.132","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","257","Tencent Cloud Computing","443","socks5","1","75","8209","10899","2025-11-16T06:54:00.170Z","4411"
